time,pm2.5,pm10
2021/01/11-14:13:57,0.50,7.30
2021/01/11-14:13:58,0.50,7.00
2021/01/11-14:13:59,0.50,6.50
2021/01/11-14:14:00,0.50,6.90
2021/01/11-14:14:01,0.50,6.30
2021/01/11-14:14:02,0.50,6.30
2021/01/11-14:14:03,0.50,6.30
2021/01/11-14:14:04,0.50,5.90
2021/01/11-14:14:05,0.50,6.00
2021/01/11-14:14:06,0.50,5.90
2021/01/11-14:14:07,0.50,5.90
2021/01/11-14:14:08,0.50,6.50
2021/01/11-14:14:09,0.40,6.60
2021/01/11-14:14:10,0.50,6.60
2021/01/11-14:14:11,0.50,7.50
2021/01/11-14:14:12,0.50,7.50
2021/01/11-14:14:13,0.50,8.30
2021/01/11-14:14:14,0.50,8.30
2021/01/11-14:14:15,0.50,8.20
2021/01/11-14:14:16,0.40,8.20
2021/01/11-14:14:17,0.40,6.90
2021/01/11-14:14:18,0.40,7.40
2021/01/11-14:14:19,0.40,8.00
2021/01/11-14:14:20,0.40,8.00
2021/01/11-14:14:21,0.40,7.90
2021/01/11-14:14:22,0.40,7.70
2021/01/11-14:14:23,0.40,6.90
2021/01/11-14:14:24,0.40,6.90
2021/01/11-14:14:25,0.40,6.70
2021/01/11-14:14:26,0.40,7.50
2021/01/11-14:14:27,0.40,7.50
2021/01/11-14:14:28,0.50,8.00
2021/01/11-14:14:29,0.50,8.50
2021/01/11-14:14:30,0.50,8.40
2021/01/11-14:14:31,0.50,8.50
2021/01/11-14:14:32,0.50,8.50
2021/01/11-14:14:33,0.50,8.70
2021/01/11-14:14:34,0.50,9.30
2021/01/11-14:14:35,0.50,9.30
2021/01/11-14:14:36,0.50,9.40
2021/01/11-14:14:37,0.50,9.50
2021/01/11-14:14:38,0.50,9.10
2021/01/11-14:14:39,0.60,9.40
2021/01/11-14:14:40,0.50,9.40
2021/01/11-14:14:41,0.50,8.30
2021/01/11-14:14:42,0.50,8.80
2021/01/11-14:14:43,0.50,8.10
2021/01/11-14:14:44,0.50,8.20
2021/01/11-14:14:45,0.50,7.60
2021/01/11-14:14:46,0.50,6.90
2021/01/11-14:14:47,0.60,6.90
2021/01/11-14:14:48,0.60,6.50
2021/01/11-14:14:49,0.50,5.90
2021/01/11-14:14:50,0.50,5.90
2021/01/11-14:14:51,0.60,6.30
2021/01/11-14:14:52,0.60,6.10
2021/01/11-14:14:53,0.60,6.90
2021/01/11-14:14:54,0.60,6.90
2021/01/11-14:14:55,0.60,7.40
2021/01/11-14:14:56,0.60,6.60
2021/01/11-14:14:57,0.50,6.40
2021/01/11-14:14:58,0.50,6.10
2021/01/11-14:14:59,0.50,6.20
2021/01/11-14:15:00,0.50,5.70
2021/01/11-14:15:01,0.50,5.50
2021/01/11-14:15:02,0.50,5.60
2021/01/11-14:15:03,0.40,5.30
2021/01/11-14:15:04,0.40,5.20
2021/01/11-14:15:05,0.40,5.30
2021/01/11-14:15:06,0.40,5.30
2021/01/11-14:15:07,0.40,5.30
2021/01/11-14:15:08,0.40,6.50
2021/01/11-14:15:09,0.40,6.70
2021/01/11-14:15:11,0.40,6.70
2021/01/11-14:15:12,0.40,6.70
2021/01/11-14:15:13,0.40,6.30
2021/01/11-14:15:14,0.40,6.10
2021/01/11-14:15:15,0.40,6.10
2021/01/11-14:15:16,0.40,6.00
2021/01/11-14:15:17,0.40,6.00
2021/01/11-14:15:18,0.40,6.00
2021/01/11-14:15:19,0.40,5.90
2021/01/11-14:15:20,0.40,6.50
2021/01/11-14:15:21,0.40,6.50
2021/01/11-14:15:22,0.30,6.20
2021/01/11-14:15:23,0.30,6.20
2021/01/11-14:15:24,0.30,5.40
2021/01/11-14:15:25,0.30,5.50
2021/01/11-14:15:26,0.30,5.00
2021/01/11-14:15:27,0.30,5.60
2021/01/11-14:15:28,0.30,5.70
2021/01/11-14:15:29,0.30,5.70
2021/01/11-14:15:30,0.30,5.00
2021/01/11-14:15:31,0.30,5.00
2021/01/11-14:15:32,0.30,5.00
2021/01/11-14:15:33,0.30,5.00
2021/01/11-14:15:34,0.30,5.00
