time,pm2.5,pm10,fan
2021/01/20-19:28:48,9.70,41.80,3
2021/01/20-19:28:49,9.60,41.40,3
2021/01/20-19:28:50,9.60,42.20,3
2021/01/20-19:28:51,9.70,41.50,3
2021/01/20-19:28:52,9.70,40.70,3
2021/01/20-19:28:53,9.70,41.30,3
2021/01/20-19:28:54,9.60,40.50,3
2021/01/20-19:28:55,9.70,40.40,3
2021/01/20-19:28:56,9.80,41.30,3
2021/01/20-19:28:57,9.70,42.20,3
2021/01/20-19:28:58,9.90,41.40,3
2021/01/20-19:28:59,10.20,40.90,3
2021/01/20-19:29:00,10.10,40.40,3
2021/01/20-19:29:01,10.20,40.80,3
2021/01/20-19:29:02,10.40,39.70,3
2021/01/20-19:29:03,10.40,39.80,3
2021/01/20-19:29:04,10.60,40.30,3
2021/01/20-19:29:05,10.70,40.30,3
2021/01/20-19:29:06,10.90,40.30,3
2021/01/20-19:29:07,11.00,38.70,3
2021/01/20-19:29:08,11.10,39.10,3
2021/01/20-19:29:09,11.30,39.90,3
2021/01/20-19:29:10,11.40,40.50,3
2021/01/20-19:29:11,11.80,41.90,3
2021/01/20-19:29:12,11.90,41.80,3
2021/01/20-19:29:13,12.10,42.60,3
2021/01/20-19:29:14,12.30,43.10,3
2021/01/20-19:29:15,12.50,43.90,3
2021/01/20-19:29:16,12.60,43.70,3
2021/01/20-19:29:17,13.00,45.20,3
2021/01/20-19:29:18,13.00,46.20,3
2021/01/20-19:29:19,13.20,46.90,3
2021/01/20-19:29:20,13.30,46.50,3
2021/01/20-19:29:21,13.40,45.80,3
2021/01/20-19:29:22,13.50,45.90,3
2021/01/20-19:29:23,13.50,46.00,3
2021/01/20-19:29:24,13.70,46.90,3
2021/01/20-19:29:25,13.90,47.10,3
2021/01/20-19:29:26,14.20,47.60,3
2021/01/20-19:29:27,14.60,48.30,3
2021/01/20-19:29:28,14.90,49.40,3
2021/01/20-19:29:29,15.10,49.70,3
2021/01/20-19:29:30,15.30,50.70,3
2021/01/20-19:29:31,15.60,51.30,3
2021/01/20-19:29:32,15.90,51.60,3
2021/01/20-19:29:33,16.40,52.70,3
2021/01/20-19:29:34,17.00,54.10,3
2021/01/20-19:29:35,17.80,57.70,3
2021/01/20-19:29:36,18.60,59.60,3
2021/01/20-19:29:37,19.00,60.90,3
2021/01/20-19:29:38,19.40,61.10,3
2021/01/20-19:29:39,19.70,60.70,3
